,num_campo,Ba_ppm ,Co_ppm ,Cr_ppm ,Cu_ppm ,Fe_pct   ,Mg_pct   ,Mn_ppm ,V_ppm ,K-classes,Lat,Long
809,1015-RH-S-0065R,150.0,5.0,20.0,50.0,0.7,0.15,150.0,30.0,0,-14.609901587,-39.060350454
810,1015-RH-S-0067,100.0,5.0,10.0,70.0,0.7,0.05,150.0,20.0,0,-14.586728351,-39.055345122
811,1015-RH-S-0069,150.0,5.0,10.0,7.0,0.3,0.07,70.0,20.0,0,-14.55746467,-39.045484197
812,1015-RH-S-0071,150.0,5.0,10.0,70.0,0.2,0.03,70.0,20.0,0,-14.511354657,-39.037122261
813,1015-RH-S-0074,30.0,15.0,100.0,20.0,3.0,0.05,500.0,150.0,0,-14.559707174,-39.102108375
814,1015-RH-S-0075,30.0,30.0,200.0,30.0,5.0,0.07,500.0,150.0,0,-14.560269767,-39.093635661
815,1015-RH-S-0076,50.0,20.0,70.0,10.0,5.0,0.05,500.0,150.0,0,-14.550214066,-39.101175792
816,1015-RH-S-0077,50.0,20.0,100.0,30.0,5.0,0.03,300.0,100.0,0,-14.546732239,-39.095608547
817,1015-RH-S-0078,30.0,20.0,100.0,10.0,5.0,0.07,500.0,150.0,0,-14.540271189,-39.094674034
818,1015-RH-S-0079,30.0,20.0,70.0,30.0,3.0,0.05,300.0,100.0,0,-14.537556437,-39.100241866
819,1015-RH-S-0080,30.0,20.0,100.0,15.0,3.0,0.03,500.0,150.0,0,-14.535075591,-39.086651468
820,1015-RH-S-0081,30.0,30.0,200.0,30.0,5.0,0.05,500.0,150.0,0,-14.533720356,-39.083664414
821,1015-RH-S-0082,50.0,20.0,100.0,30.0,3.0,0.05,300.0,150.0,0,-14.535755351,-39.081677908
822,1015-RH-S-0082R,30.0,20.0,100.0,30.0,5.0,0.03,500.0,150.0,0,-14.534851205,-39.081677576
823,1015-RH-S-0085,30.0,20.0,70.0,30.0,5.0,0.05,700.0,150.0,0,-14.550092501,-39.116993552
824,1015-RH-S-0087,50.0,20.0,70.0,30.0,5.0,0.05,500.0,150.0,0,-14.531218745,-39.118801767
825,1015-RH-S-0090,300.0,30.0,50.0,50.0,7.0,0.3,700.0,150.0,0,-14.729542386,-39.076876217
826,1015-RH-S-0091,200.0,15.0,70.0,30.0,5.0,0.1,300.0,100.0,0,-14.717487108,-39.082209581
827,1015-RH-S-0092,150.0,15.0,50.0,20.0,3.0,0.07,300.0,100.0,0,-14.718390405,-39.084532232
828,1015-RH-S-0093,150.0,15.0,50.0,30.0,1.5,0.07,200.0,100.0,0,-14.72110347,-39.082675404
829,1015-RH-S-0095,200.0,10.0,50.0,70.0,0.7,0.1,150.0,30.0,0,-14.662232879,-39.12495584
830,1015-RH-S-0095R,200.0,7.0,30.0,50.0,0.7,0.07,150.0,30.0,0,-14.660507889,-39.124443234
831,1015-RH-S-0097,300.0,10.0,70.0,50.0,1.0,0.1,150.0,30.0,0,-14.655804132,-39.133452974
